x,y,predicted_class
-1.3,-1.3,0
-1.26709,-1.3,0
-1.23418,-1.3,0
-1.20127,-1.3,0
-1.16835,-1.3,0
-1.13544,-1.3,0
-1.10253,-1.3,0
-1.06962,-1.3,0
-1.03671,-1.3,0
-1.0038,-1.3,0
-0.970886,-1.3,0
-0.937975,-1.3,0
-0.905063,-1.3,0
-0.872152,-1.3,0
-0.83924,-1.3,0
-0.806329,-1.3,0
-0.773418,-1.3,0
-0.740506,-1.3,0
-0.707595,-1.3,0
-0.674684,-1.3,0
-0.641772,-1.3,0
-0.608861,-1.3,0
-0.575949,-1.3,0
-0.543038,-1.3,0
-0.510127,-1.3,0
-0.477215,-1.3,0
-0.444304,-1.3,0
-0.411392,-1.3,0
-0.378481,-1.3,0
-0.34557,-1.3,0
-0.312658,-1.3,0
-0.279747,-1.3,0
-0.246835,-1.3,0
-0.213924,-1.3,0
-0.181013,-1.3,0
-0.148101,-1.3,0
-0.11519,-1.3,0
-0.0822785,-1.3,0
-0.0493671,-1.3,0
-0.0164558,-1.3,0
0.0164558,-1.3,0
0.0493671,-1.3,0
0.0822785,-1.3,0
0.11519,-1.3,0
0.148101,-1.3,0
0.181013,-1.3,0
0.213924,-1.3,0
0.246835,-1.3,0
0.279747,-1.3,0
0.312658,-1.3,0
0.34557,-1.3,0
0.378481,-1.3,0
0.411392,-1.3,0
0.444304,-1.3,0
0.477215,-1.3,0
0.510127,-1.3,0
0.543038,-1.3,0
0.575949,-1.3,0
0.608861,-1.3,0
0.641772,-1.3,0
0.674684,-1.3,0
0.707595,-1.3,0
0.740506,-1.3,0
0.773418,-1.3,0
0.806329,-1.3,0
0.839241,-1.3,0
0.872152,-1.3,0
0.905063,-1.3,0
0.937975,-1.3,0
0.970886,-1.3,0
1.0038,-1.3,0
1.03671,-1.3,0
1.06962,-1.3,0
1.10253,-1.3,0
1.13544,-1.3,0
1.16835,-1.3,0
1.20127,-1.3,0
1.23418,-1.3,0
1.26709,-1.3,0
1.3,-1.3,0
-1.3,-1.26709,0
-1.26709,-1.26709,0
-1.23418,-1.26709,0
-1.20127,-1.26709,0
-1.16835,-1.26709,0
-1.13544,-1.26709,0
-1.10253,-1.26709,0
-1.06962,-1.26709,0
-1.03671,-1.26709,0
-1.0038,-1.26709,0
-0.970886,-1.26709,0
-0.937975,-1.26709,0
-0.905063,-1.26709,0
-0.872152,-1.26709,0
-0.83924,-1.26709,0
-0.806329,-1.26709,0
-0.773418,-1.26709,0
-0.740506,-1.26709,0
-0.707595,-1.26709,0
-0.674684,-1.26709,0
-0.641772,-1.26709,0
-0.608861,-1.26709,0
-0.575949,-1.26709,0
-0.543038,-1.26709,0
-0.510127,-1.26709,0
-0.477215,-1.26709,0
-0.444304,-1.26709,0
-0.411392,-1.26709,0
-0.378481,-1.26709,0
-0.34557,-1.26709,0
-0.312658,-1.26709,0
