x,y,class
0,-0,0
0.00977056,0.00212983,0
0.0185244,0.00753975,0
0.0288148,0.00834894,0
0.0336273,0.0216611,0
0.0378455,0.032676,0
0.0425035,0.0423492,0
0.043034,0.0552094,0
0.0495961,0.0627712,0
0.0396383,0.080801,0
0.0405349,0.0914162,0
0.0333996,0.104807,0
0.0232999,0.117716,0
-0.00657603,0.129834,0
-0.0411519,0.133815,0
-0.039181,0.144792,0
-0.0724843,0.14264,0
-0.0752192,0.152453,0
-0.123165,0.131265,0
-0.144248,0.123663,0
-0.143283,0.139534,0
-0.168974,0.124691,0
-0.213901,0.0514432,0
-0.226087,0.0422461,0
-0.239919,0.00622269,0
-0.247839,-0.0327967,0
-0.259799,-0.0102324,0
-0.268609,-0.0273744,0
-0.268976,-0.0777935,0
-0.230808,-0.175578,0
-0.258334,-0.152524,0
-0.218362,-0.220041,0
-0.218096,-0.234167,0
-0.167392,-0.284394,0
-0.142476,-0.308708,0
-0.156021,-0.313301,0
-0.0746624,-0.352173,0
-0.0756506,-0.362184,0
7.62889e-05,-0.38,0
0.075924,-0.382538,0
0.1363,-0.376061,0
0.163348,-0.376055,0
0.185454,-0.376838,0
0.226641,-0.365423,0
0.301353,-0.320603,0
0.397853,-0.210268,0
0.393895,-0.237585,0
0.421736,-0.207459,0
0.463306,-0.125488,0
0.474951,-0.120507,0
0.498171,0.0427243,0
0.50339,0.0818462,0
0.513256,0.0834765,0
0.499354,0.177612,0
0.47209,0.262166,0
0.39359,0.384171,0
0.397439,0.394515,0
0.367693,0.435548,0
0.374334,0.443028,0
0.192213,0.557812,0
0.166906,0.576318,0
0.0817392,0.604499,0
0.0998019,0.611915,0
-0.0302171,0.629275,0
-0.0371065,0.638923,0
-0.108775,0.640834,0
-0.358648,0.55405,0
-0.430676,0.513243,0
-0.502179,0.458494,0
-0.511866,0.462703,0
-0.601902,0.35737,0
-0.610055,0.363226,0
-0.652762,0.303811,0
-0.673355,0.281945,0
-0.717657,0.180469,0
-0.747557,0.0604835,0
-0.747594,-0.136761,0
-0.758422,-0.133029,0
-0.730264,-0.274071,0
-0.670322,-0.418053,0
-0.696262,-0.393979,0
-0.571849,-0.573663,0
-0.523601,-0.631064,0
-0.372582,-0.741675,0
-0.459994,-0.702855,0
-0.340493,-0.778823,0
-0.0564604,-0.858145,0
-0.0829697,-0.866035,0
-0.00838911,-0.87996,0
0.0827979,-0.88614,0
0.319501,-0.841379,0
0.449341,-0.791324,0
0.44832,-0.803373,0
0.576567,-0.729706,0
0.689092,-0.639337,0
0.716755,-0.623508,0
0.847653,-0.45065,0
0.90895,-0.33869,0
0.921965,-0.332236,0
0.955112,-0.260503,0
-0,0,1
-0.00683063,0.0073036,1
-0.0151237,0.0130871,1
-0.0232273,0.0189867,1
-0.0366418,0.0160431,1
-0.0450151,0.0217633,1
-0.059086,0.0104327,1
-0.0699453,0.00276806,1
-0.0799937,0.0010014,1
-0.0889629,-0.0136236,1
-0.094408,-0.0329715,1
-0.105622,-0.0307231,1
-0.113238,-0.0397145,1
-0.106735,-0.074213,1
-0.113871,-0.0814462,1
-0.0996709,-0.112097,1
-0.108335,-0.117743,1
-0.0572308,-0.160077,1
-0.0714933,-0.165193,1
-0.0240696,-0.188469,1
-0.0275355,-0.198095,1
0.0199492,-0.20905,1
0.0171453,-0.219331,1
0.064485,-0.220775,1
0.114336,-0.211015,1
0.130592,-0.21318,1
0.148154,-0.21366,1
0.21391,-0.16475,1
0.207539,-0.187957,1
0.252751,-0.142187,1
0.275604,-0.118501,1
0.290083,-0.109325,1
0.307952,-0.0869794,1
0.328251,-0.0339318,1
0.33484,0.0590077,1
0.347922,0.0380813,1
0.35228,0.0741541,1
0.351742,0.114793,1
0.282533,0.254117,1
0.301006,0.247983,1
0.242509,0.318103,1
0.244492,0.329126,1
0.227386,0.353122,1
0.174552,0.392978,1
0.162685,0.40882,1
0.111548,0.435955,1
-0.0530498,0.456931,1
-0.0264285,0.469256,1
-0.157505,0.453423,1
-0.218122,0.438774,1
-0.279136,0.414829,1
-0.342497,0.377884,1
-0.392823,0.34072,1
-0.425611,0.315841,1
-0.422482,0.336317,1
-0.526879,0.157794,1
-0.528745,0.184468,1
-0.565747,0.0694964,1
-0.572855,0.0907588,1
-0.577251,-0.121989,1
-0.569848,-0.187812,1
-0.551868,-0.259887,1
-0.544767,-0.296023,1
-0.529966,-0.34064,1
-0.505059,-0.393084,1
-0.490222,-0.426828,1
-0.444204,-0.488142,1
-0.33318,-0.581284,1
-0.272769,-0.622894,1
-0.123347,-0.678886,1
-0.109564,-0.691372,1
0.0501696,-0.708225,1
0.153956,-0.703348,1
0.215494,-0.697468,1
0.314661,-0.669768,1
0.330281,-0.673361,1
0.526562,-0.548026,1
0.548757,-0.540153,1
0.607221,-0.489574,1
0.660951,-0.432717,1
0.689029,-0.406496,1
0.800697,-0.122408,1
0.815605,-0.0847824,1
0.828365,0.0520785,1
0.829,0.135495,1
0.81784,0.231599,1
0.806827,0.297707,1
0.807433,0.323963,1
0.691007,0.544894,1
0.714441,0.530729,1
0.603461,0.667708,1
0.617118,0.668779,1
0.420662,0.818195,1
0.268472,0.890406,1
0.234491,0.910282,1
0.208664,0.926801,1
0.116286,0.952931,1
-0.124215,0.962014,1
-0.150943,0.968306,1
-0.300548,0.943277,1
-0,-0,2
-0.00275592,-0.00961275,2
-0.0045858,-0.0194672,2
-0.00460166,-0.029645,2
-0.00306247,-0.0398826,2
0.00616939,-0.0496179,2
0.0138512,-0.0583793,2
0.0282042,-0.0640666,2
0.0454339,-0.0658465,2
0.0430831,-0.079018,2
0.0611398,-0.0791323,2
0.0854798,-0.069233,2
0.0981293,-0.0690698,2
0.117125,-0.0564067,2
0.135351,-0.0357799,2
0.143366,-0.044116,2
0.157823,-0.0263019,2
0.167411,0.0295555,2
0.179851,0.00731423,2
0.180182,0.060286,2
0.187473,0.0696689,2
0.172967,0.119091,2
0.185387,0.118455,2
0.14116,0.181587,2
0.119325,0.208234,2
0.116838,0.221018,2
0.0781999,0.247961,2
0.0884057,0.255117,2
0.0297878,0.278411,2
0.0402652,0.287191,2
-0.0643437,0.293019,2
-0.0668476,0.302707,2
-0.138367,0.288539,2
-0.12767,0.304303,2
-0.166972,0.296176,2
-0.227608,0.265884,2
-0.298269,0.201582,2
-0.329638,0.168045,2
-0.342341,0.164932,2
-0.36104,0.147479,2
-0.397256,0.0467757,2
-0.402058,0.0803086,2
-0.414587,-0.0672101,2
-0.426675,-0.0533717,2
-0.427533,-0.103998,2
-0.385754,-0.231719,2
-0.418591,-0.190739,2
-0.387417,-0.266098,2
-0.36268,-0.314425,2
-0.278676,-0.403038,2
-0.259409,-0.427443,2
-0.265604,-0.435378,2
-0.091492,-0.511888,2
-0.100531,-0.520378,2
0.0470688,-0.537945,2
0.0253755,-0.549414,2
0.0461307,-0.558097,2
0.144025,-0.551504,2
0.270368,-0.513129,2
0.341658,-0.481009,2
0.390309,-0.455696,2
0.459948,-0.400684,2
0.486047,-0.384913,2
0.579521,-0.247094,2
0.576524,-0.277884,2
0.624934,-0.178767,2
0.654216,-0.0871883,2
0.669593,-0.0233606,2
0.649543,0.20123,2
0.677096,0.132821,2
0.653677,0.250413,2
0.636143,0.315313,2
0.561729,0.450401,2
0.501586,0.530389,2
0.410696,0.615572,2
0.39358,0.638432,2
0.32292,0.687984,2
0.301839,0.708374,2
0.00395658,0.77999,2
0.0747558,0.786455,2
-0.192845,0.776409,2
-0.124605,0.800358,2
-0.227858,0.787706,2
-0.427162,0.711641,2
-0.478829,0.690161,2
-0.607807,0.594197,2
-0.616307,0.599805,2
-0.669873,0.555131,2
-0.761347,0.441306,2
-0.874685,0.164395,2
-0.845936,0.307233,2
-0.899267,0.139353,2
-0.91743,-0.0687135,2
-0.885518,-0.284179,2
-0.899662,-0.272413,2
-0.877871,-0.363102,2
-0.880441,-0.382654,2
-0.836863,-0.490469,2
-0.730621,-0.653141,2
-0.634544,-0.759904,2
